date,kind,amount,accrual_factor,reset_date,outstanding_start,outstanding,rate,rate_base,outstanding_undrawn,discount_factor,pv,IRR,Path_Rank
2025-10-01,notional,5422732.551442474,0.0,,15874671.055320334,10451938.50387786,0.0,0.0,89548061.49612214,0.97726,5299419.613222673,0.0967374120517821,Top_1
2025-10-01,commitment_fee,110957.99944829004,0.25555555555555554,,10451938.50387786,10451938.50387786,0.005,84125328.94467966,89548061.49612214,0.97726,108434.81454083593,0.0967374120517821,Top_1
2025-10-01,facility_fee,25555.55555555555,0.25555555555555554,,10451938.50387786,10451938.50387786,0.001,100000000.0,89548061.49612214,0.97726,24974.42222222222,0.0967374120517821,Top_1
2026-01-01,float_reset,162912.03384521342,0.25555555555555554,,10451938.50387786,10451938.50387786,0.060000000000000005,10451938.503877858,89548061.49612214,0.9697644444444445,157986.29799521793,0.0967374120517821,Top_1
2026-01-01,notional,-345518.71118516516,0.0,,10451938.50387786,10797457.215063024,0.0,0.0,89202542.78493698,0.9697644444444445,-335071.7609976422,0.0967374120517821,Top_1
2026-01-01,commitment_fee,114201.7749573433,0.25555555555555554,,10797457.215063024,10797457.215063024,0.005,89548061.49612215,89202542.78493698,0.9697644444444445,110748.8208460775,0.0967374120517821,Top_1
2026-01-01,facility_fee,25555.55555555555,0.25555555555555554,,10797457.215063024,10797457.215063024,0.001,100000000.0,89202542.78493698,0.9697644444444445,24782.869135802466,0.0967374120517821,Top_1
2026-04-01,float_reset,167783.72327373028,0.25,,10797457.215063024,10797457.215063024,0.060000000000000005,10797457.215063024,89202542.78493698,0.9626144444444444,161511.0355659623,0.0967374120517821,Top_1
2026-04-01,notional,-776248.6730379894,0.0,,10797457.215063024,11573705.888101013,0.0,0.0,88426294.11189899,0.9626144444444444,-747228.1851472014,0.0967374120517821,Top_1
2026-04-01,commitment_fee,111018.0230605225,0.25,,11573705.888101013,11573705.888101013,0.005,89202542.78493698,88426294.11189899,0.9626144444444444,106867.55259172538,0.0967374120517821,Top_1
2026-04-01,facility_fee,25000.0,0.25,,11573705.888101013,11573705.888101013,0.001,100000000.0,88426294.11189899,0.9626144444444444,24065.36111111111,0.0967374120517821,Top_1
2026-07-01,float_reset,229915.2437910998,0.25277777777777777,,11573705.888101013,11573705.888101013,0.060000000000000005,11573705.888101013,88426294.11189899,0.955385,219657.5751893599,0.0967374120517821,Top_1
2026-07-01,notional,-7171081.910536406,0.0,,11573705.888101013,18744787.79863742,0.0,0.0,81255212.20136258,0.955385,-6851144.091097824,0.0967374120517821,Top_1
2026-07-01,commitment_fee,107229.28523963055,0.25277777777777777,,18744787.79863742,18744787.79863742,0.005,88426294.11189899,81255212.20136258,0.955385,102445.25067866444,0.0967374120517821,Top_1
2026-07-01,facility_fee,25277.777777777777,0.25277777777777777,,18744787.79863742,18744787.79863742,0.001,100000000.0,81255212.20136258,0.955385,24150.00972222222,0.0967374120517821,Top_1
2026-10-01,float_reset,261384.97120611058,0.25555555555555554,,18744787.79863742,18744787.79863742,0.060000000000000005,18744787.79863742,81255212.20136258,0.9480761111111111,247812.84700397908,0.0967374120517821,Top_1
2026-10-01,notional,3395883.70082563,0.0,,18744787.79863742,15348904.09781179,0.0,0.0,84651095.90218821,0.9480761111111111,3219556.2128643715,0.0967374120517821,Top_1
2026-10-01,commitment_fee,105995.69684393522,0.25555555555555554,,15348904.09781179,15348904.09781179,0.005,81255212.20136258,84651095.90218821,0.9480761111111111,100491.98805831038,0.0967374120517821,Top_1
2026-10-01,facility_fee,25555.55555555555,0.25555555555555554,,15348904.09781179,15348904.09781179,0.001,100000000.0,84651095.90218821,0.9480761111111111,24228.61172839506,0.0967374120517821,Top_1
2027-01-01,float_reset,309845.98728458193,0.25555555555555554,,15348904.09781179,15348904.09781179,0.060000000000000005,15348904.097811788,84651095.90218821,0.9408237962962963,291510.4780242543,0.0967374120517821,Top_1
2027-01-01,notional,-9716885.798017545,0.0,,15348904.09781179,25065789.895829335,0.0,0.0,74934210.10417067,0.9408237962962963,-9141877.384668432,0.0967374120517821,Top_1
2027-01-01,notional,25065789.89582933,0.0,,25065789.895829335,3.725290298461914e-9,0.0,0.0,100000000.0,0.9408237962962963,23582491.606959496,0.0967374120517821,Top_1
2027-01-01,commitment_fee,101957.27883739593,0.25555555555555554,,3.725290298461914e-9,3.725290298461914e-9,0.005,84651095.90218821,100000000.0,0.9408237962962963,95923.83413583887,0.0967374120517821,Top_1
2027-01-01,facility_fee,25555.55555555555,0.25555555555555554,,3.725290298461914e-9,3.725290298461914e-9,0.001,100000000.0,100000000.0,0.9408237962962963,24043.274794238678,0.0967374120517821,Top_1
