start_date,end_date,pay_date,reset_date,kind,amount,accrual_factor,rate,notional,yr_fraq,discount_factor,pv,undrawn_notional,IRR,Path_Rank
2025-01-01,2027-01-01,2026-04-01,,commitment_fee,82028.4,0.25,0.005,34377277.94294521,1.2638888888888888,0.9626144444444444,78961.72269466666,65622722.05705479,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-04-01,,facility_fee,25000.0,0.25,0.001,34377277.94294521,1.2638888888888888,0.9626144444444444,24065.36111111111,65622722.05705479,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-04-01,,notional,-2225175.7294817152,0.0,0.0,NaN,1.2638888888888888,0.9626144444444444,-2141986.2986263027,NaN,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-07-01,,float_reset,555137.2140318084,0.25277777777777777,0.060000000000000005,36602453.672426924,1.5166666666666666,0.955385,530369.7672277793,63397546.327573076,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-07-01,,commitment_fee,80127.45,0.25277777777777777,0.005,36602453.672426924,1.5166666666666666,0.955385,76552.56381825,63397546.327573076,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-07-01,,facility_fee,25277.78,0.25277777777777777,0.001,36602453.672426924,1.5166666666666666,0.955385,24150.0118453,63397546.327573076,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-07-01,,notional,3092493.0676000663,0.0,0.0,NaN,1.5166666666666666,0.955385,2954521.4893890894,NaN,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-10-01,,float_reset,513819.3959406784,0.25555555555555554,0.060000000000000005,33509960.60482686,1.7722222222222221,0.9480761111111111,487139.8947168986,66490039.39517314,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-10-01,,commitment_fee,84959.49,0.25555555555555554,0.005,33509960.60482686,1.7722222222222221,0.9480761111111111,80548.06288118334,66490039.39517314,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-10-01,,facility_fee,25555.56,0.25555555555555554,0.001,33509960.60482686,1.7722222222222221,0.9480761111111111,24228.615942066666,66490039.39517314,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-10-01,,notional,6429663.734607505,0.0,0.0,NaN,1.7722222222222221,0.9480761111111111,6095810.589258826,NaN,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2027-01-01,,float_reset,415231.21867669676,0.25555555555555554,0.060000000000000005,27080296.870219357,2.0277777777777777,0.9408237962962963,390659.4114961474,72919703.12978065,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2027-01-01,,commitment_fee,93175.18,0.25555555555555554,0.005,27080296.870219357,2.0277777777777777,0.9408237962962963,87661.42656819074,72919703.12978065,0.07597480260907016,Bottom_1
