date,kind,amount,accrual_factor,reset_date,outstanding_start,outstanding,rate,rate_base,outstanding_undrawn,discount_factor,pv,IRR,Path_Rank
2026-01-01,commitment_fee,81130.90194161184,0.25555555555555554,,34377277.94294521,34377277.94294521,0.005,61364776.634163775,65622722.05705479,0.9697644444444445,78677.86404868391,0.07617937378319106,Bottom_1
2026-01-01,facility_fee,25555.55555555555,0.25555555555555554,,34377277.94294521,34377277.94294521,0.001,100000000.0,65622722.05705479,0.9697644444444445,24782.869135802466,0.07617937378319106,Bottom_1
2026-04-01,float_reset,532347.9871152911,0.25,,34377277.94294521,34377277.94294521,0.060000000000000005,34377277.94294521,65622722.05705479,0.9626144444444444,512445.8618681042,0.07617937378319106,Bottom_1
2026-04-01,notional,-2225175.7294817152,0.0,,34377277.94294521,36602453.672426924,0.0,0.0,63397546.327573076,0.9626144444444444,-2141986.2986263027,0.07617937378319106,Bottom_1
2026-04-01,commitment_fee,80637.66774039241,0.25,,36602453.672426924,36602453.672426924,0.005,65622722.057054795,63397546.327573076,0.9626144444444444,77622.98373321354,0.07617937378319106,Bottom_1
2026-04-01,facility_fee,25000.0,0.25,,36602453.672426924,36602453.672426924,0.001,100000000.0,63397546.327573076,0.9626144444444444,24065.36111111111,0.07617937378319106,Bottom_1
2026-07-01,float_reset,531685.8082691745,0.25277777777777777,,36602453.672426924,36602453.672426924,0.060000000000000005,36602453.672426924,63397546.327573076,0.955385,507964.6459332453,0.07617937378319106,Bottom_1
2026-07-01,notional,3092493.0676000663,0.0,,36602453.672426924,33509960.604826856,0.0,0.0,66490039.39517315,0.955385,2954521.4893890894,0.07617937378319106,Bottom_1
2026-07-01,commitment_fee,82081.73819979101,0.25277777777777777,,33509960.604826856,33509960.604826856,0.005,63397546.32757308,66490039.39517315,0.955385,78419.66145000733,0.07617937378319106,Bottom_1
2026-07-01,facility_fee,25277.777777777777,0.25277777777777777,,33509960.604826856,33509960.604826856,0.001,100000000.0,66490039.39517315,0.955385,24150.00972222222,0.07617937378319106,Bottom_1
2026-10-01,float_reset,464525.3073086877,0.25555555555555554,,33509960.604826856,33509960.604826856,0.060000000000000005,33509960.60482686,66490039.39517315,0.9480761111111111,440405.3468659145,0.07617937378319106,Bottom_1
2026-10-01,notional,6429663.734607505,0.0,,33509960.604826856,27080296.87021935,0.0,0.0,72919703.12978065,0.9480761111111111,6095810.589258826,0.07617937378319106,Bottom_1
2026-10-01,commitment_fee,89067.33550205379,0.25555555555555554,,27080296.87021935,27080296.87021935,0.005,66490039.39517314,72919703.12978065,0.9480761111111111,84442.61306981575,0.07617937378319106,Bottom_1
2026-10-01,facility_fee,25555.55555555555,0.25555555555555554,,27080296.87021935,27080296.87021935,0.001,100000000.0,72919703.12978065,0.9480761111111111,24228.61172839506,0.07617937378319106,Bottom_1
2027-01-01,float_reset,406347.2645437493,0.25555555555555554,,27080296.87021935,27080296.87021935,0.060000000000000005,27080296.870219357,72919703.12978065,0.9408237962962963,382301.1760426656,0.07617937378319106,Bottom_1
2027-01-01,notional,1158776.6260366228,0.0,,27080296.87021935,25921520.24418273,0.0,0.0,74078479.75581726,0.9408237962962963,1090204.6243671891,0.07617937378319106,Bottom_1
2027-01-01,notional,25921520.244182732,0.0,,25921520.24418273,-3.725290298461914e-9,0.0,0.0,100000000.0,0.9408237962962963,24387583.081903297,0.07617937378319106,Bottom_1
2027-01-01,commitment_fee,93915.50573246533,0.25555555555555554,,-3.725290298461914e-9,-3.725290298461914e-9,0.005,72919703.12978065,100000000.0,0.9408237962962963,88357.9426343046,0.07617937378319106,Bottom_1
2027-01-01,facility_fee,25555.55555555555,0.25555555555555554,,-3.725290298461914e-9,-3.725290298461914e-9,0.001,100000000.0,100000000.0,0.9408237962962963,24043.274794238678,0.07617937378319106,Bottom_1
